"i","w","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
137,1.31127198462881e-06,-0.759710151400688,0.318709198786605,9.16267540861215,9534.53175315546,5.27872984048306,196.120612621006,-1.66957667171165,0.158480627656301,0.12617646348176,1.04143823611367,0.253210078665971
138,2.60714632452953e-06,-0.515077271529873,0.374004050858731,7.50555119186641,1818.1071144959,4.77435218326308,118.433566517451,-1.85863315807142,0.134862448066723,0.0257830899814357,0.44467514578838,0.368278951369771
139,3.87067557503089e-05,0.930024432399113,0.717080242270779,7.88096615444171,2646.42818328415,5.02117082717866,151.58868408426,-1.63240993509975,0.163500491679264,0.0708065048022528,0.479385945467425,0.468375748544202
140,8.36795516404471e-06,-0.653346059567609,0.34223590708511,7.80272767184205,2447.26822645294,4.61964920672603,101.458434949717,-1.809136573968,0.140742510960757,0.0480718480787534,0.64418313463554,0.3460511692938
141,7.24597340212653e-06,-0.431464380011908,0.393776705411261,8.21087767912184,3680.77158536643,5.33771563120994,208.036933992539,-1.18710430065436,0.233777229265075,0.13336036707178,1.39660701385468,0.790887619878832
142,1.0470957669446e-06,-0.530635042514858,0.370368786631083,7.9693769068134,2891.0554059592,4.71856616664263,112.007537332535,-1.6064690710882,0.167079413899673,0.0251849024053721,0.607196688237368,0.427932602584006
143,0.00178895790541043,-0.902332083249495,0.2885714894164,8.09788038355984,3287.49246201384,4.74399195025175,114.891930327508,-2.13034319483607,0.10618241543661,0.0542104280965413,0.260956407510318,0.621094159833175
144,2.32300103199802e-07,-0.52200604145379,0.372383273873692,7.79492860470292,2428.25605222757,4.67159336504947,106.867886400829,-2.04718111900806,0.114337523547638,0.0241344681328162,0.424460088795294,0.446033081635053
145,3.90649888858491e-06,-0.502780832485862,0.376887385730234,8.33058082946337,4148.82661330546,4.62132687813664,101.628791726787,-1.99783528364464,0.119430390771329,0.0554667688954912,0.536116038809555,0.422334309626253
146,1.12790747258792e-06,-0.472084884842664,0.384122898186237,7.58029572979274,1959.20827598152,4.67857294598932,107.616388540893,-1.86046499054943,0.134648862724125,0.0636057329777195,0.453254711644852,0.427719979426522
147,1.27260149461317e-05,-0.718500636806008,0.327723238338133,8.9208576060504,7486.50695101354,5.34472027219239,209.499273629185,-1.89149193389835,0.131074453659467,0.155915656767607,0.807998779023088,0.211164421687446
148,8.63570191188416e-08,-0.618100092915196,0.350213678858874,7.98410621369477,2933.95380450973,4.71411579163061,111.510169345163,-1.85381434634318,0.135425670761049,0.0498560452211087,0.390436813326596,0.455448799468759
149,8.38803874045548e-08,-0.585510776706307,0.35766555221054,8.04385418657499,3114.59431434573,4.71329990484231,111.419226775699,-1.78847287483501,0.143260055556589,0.0180706784770157,0.333383365460936,0.43992038527274
150,3.8491461195469e-07,-0.595097002061155,0.355466221841167,8.10619375517207,3314.93652681792,4.59801904344095,99.2874366031342,-1.80401468707683,0.141363062024439,0.0630483147021712,0.577263261141562,0.429695605642559
151,0.000188059468367016,-0.346670190138967,0.414190123511188,8.70877017176044,6055.79032458081,5.64638982447154,283.266974141168,-1.67275887612093,0.158056695578615,0.10188905740099,1.01573966009786,0.456317633760959
152,1.73614140645038e-07,-0.574336879074121,0.360236716070133,7.68223441450157,2169.46183723209,4.57863396430169,97.3812770055932,-1.75568177801358,0.147331991907552,0.0323031584530291,0.347205864192523,0.414221987722272
153,7.18460039431515e-06,-0.624574019276126,0.348741878258768,8.65209055365831,5722.09658845134,4.59365065402433,98.8546563803691,-1.75224508324266,0.147764251114941,0.042398089090352,0.511373322610674,0.441189256263273
154,6.3206197593137e-05,0.770030900929748,0.683527578190051,8.03701991742787,3093.38091014255,5.12338295612257,167.902416440749,-0.845826261120123,0.300309126772446,0.0743832246885819,0.6698761262519,0.660641583227937
155,1.16042627832993e-07,-0.621198770811783,0.349508858841111,7.77277850701442,2375.06125333587,4.67648809931488,107.392258590603,-1.8208392148746,0.139333204300809,0.0350862287759184,0.630524896650759,0.4166568814907
156,1.01229539333238e-05,0.824430332823735,0.6951759666837,7.8707191572245,2619.44870643873,4.98242437870131,145.82749451277,-1.30799640207087,0.21282231169415,0.0702862883622821,0.198408831211571,0.519527583065634
157,3.74295741589601e-06,-0.713047468441093,0.328925811086271,8.31751434260848,4094.96865830571,4.49953174028798,89.9749897719023,-1.81634456466375,0.139873074597393,0.0289663915509918,0.632708767836094,0.447678687152817
158,2.22452050812263e-06,-0.74905309799262,0.321027661028215,7.52979358652399,1862.72097316084,4.58310131224473,97.8172862304449,-1.70563354921599,0.153730922583769,0.0630014220929059,0.428957910964731,0.46209480434837
159,5.11747623009676e-08,-0.635675276096687,0.346224802334851,7.53467049583295,1871.82748217486,4.6468699480262,104.258140923803,-1.85325731871522,0.135490903897673,0.0116285516978089,0.370913646875581,0.455338241710226
160,1.0367294508087e-06,-0.608899636751388,0.352310246494777,8.11903107015119,3357.76572895336,4.72537922590406,112.773256806271,-1.69421922849068,0.155221776056241,0.0704764116806495,0.567910337552648,0.449417313795915
161,4.97158661481956e-06,-0.705731586636383,0.330542688579617,7.61526148080429,2028.92521442359,4.64740652050013,104.314097983572,-2.09060387098635,0.110013435139255,0.0730296012376439,0.417116684773404,0.406321763317817
162,8.53512269797108e-07,-0.637336208627554,0.345848941045694,7.53426518977647,1871.06897288424,4.50857307088482,90.7921720406511,-1.98869815421244,0.120394659540332,0.0414441237876468,0.353181261389301,0.467776612861164
163,1.75257962090139e-06,-0.677821634956778,0.336747664387682,7.71657128047134,2245.24804196387,4.48432071076497,88.6167339695206,-1.76498439978127,0.146167177330338,0.0234965377555718,0.695604392330466,0.453135753378275
164,1.14870814974523e-06,-0.727546349400637,0.32573339492265,7.93087816707368,2781.86867764978,4.80583799331179,122.221869228032,-1.73827718879014,0.149531895803118,0.0608840988549245,0.483550831875675,0.458315633847126
165,2.57813754010281e-07,-0.555096352065187,0.364682826647215,7.566362138316,1932.09877321091,4.69341772337281,109.225846337048,-1.68593288594991,0.156311454306191,0.04119406835492,0.428869910154761,0.465439281486989
166,1.92089824366389e-05,0.765678530550062,0.68258533259364,7.72685546163172,2268.45772128807,5.03116868931095,153.111848354149,-1.38779232746597,0.199760433088376,0.0661113564255952,0.199407660668242,0.474729826157454
167,5.22049668759193e-07,-0.547002143749669,0.366560213827954,7.98424813357061,2934.37022041754,4.67921713172367,107.685735817039,-1.97260052576221,0.122109838927062,0.0337343628278608,0.34527428156537,0.388458183914932
168,3.75880224971695e-06,0.468916235182455,0.615127211737993,8.72533646226388,6156.94789570088,4.19464502048841,66.3301815422044,-0.709555757695132,0.329697008930813,0.183886047504698,0.802697450612569,0.443805762025597
169,2.96200839593049e-05,-0.723114708861105,0.326707471905057,7.93935149651172,2805.54051541775,4.72741959470166,113.003590743842,-1.88673620467006,0.131617053378802,0.109369014000397,0.43362092896813,0.460681098022088
170,9.81909728909873e-05,-0.299655872436783,0.425641610185763,9.0818185839474,8793.94401939145,5.73842569324673,310.575085453787,-1.50579038817995,0.181563495527879,0.0707941235004158,0.934774233340823,0.371961208190182
171,1.55194081416326e-07,-0.616663774432613,0.350540603600015,8.23561846896144,3772.97264206536,4.60495324015985,99.9783077702806,-1.87372676462154,0.133111093429474,0.0147858997508114,0.334507647802089,0.449740772823166
172,2.23711886872473e-06,-0.631451085599367,0.347181581400848,7.69982056855248,2207.95178035787,4.57346878577338,96.8795821117861,-1.87818989507116,0.132596924305706,0.0664360688692518,0.196086235898749,0.449033733309058
173,3.91771852954773e-05,-0.493823071881269,0.378993364068523,8.29981044664763,4023.10972760579,4.91612197765832,136.47234285632,-1.74235431519972,0.149014139583784,0.193885529923849,0.708317331941505,0.594322678981274
174,1.62578162922487e-07,-0.568683682774601,0.361540613626439,7.98543298624523,2937.84907738103,4.63513596259784,103.041926890931,-1.98546769644544,0.120737184064517,0.0385738912170833,0.347121487976089,0.451447003019264
175,5.87558733503465e-07,-0.503852688980207,0.376635700667122,7.58257698333544,1963.68282865606,4.62874945094371,102.385945370445,-1.9359264734672,0.12609605892471,0.0390346590658267,0.618333393851315,0.428998658151998
176,1.95902659118879e-07,-0.579299612356168,0.359093768770646,7.96733830337039,2885.16769384884,4.55383301179575,94.9958315100017,-1.87514732675621,0.132947256587826,0.0431789995822089,0.346944524770505,0.421143161568711
177,3.6482369384881e-06,-0.579778845640053,0.35898348286792,8.14856612509859,3458.41657181119,4.70436194089461,110.427802998847,-1.87571553266022,0.1328817718551,0.05661903908069,0.163098383922687,0.439493656340624
178,1.27307465865253e-05,-0.14869985770855,0.462893384422607,7.64175799667129,2083.40321494065,5.37381062692859,215.683191916078,-1.52461294832578,0.178783243441462,0.170083145604148,1.23854511077555,0.587706044035876
