"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma"
142,0.000173888905893763,0.498137358062752,0.622021503691154,10.5240172005336,37198.2576029378,5.19442117586822,180.263771572559,-1.88309993326125,0.132033214406011,0.248208393149695,0.813720677222055,0.241568109450067
143,4.25564285364968e-05,0.936748615686296,0.718442425317915,10.3210273462975,30364.436369064,6.13506614176097,461.769635265708,-2.45306672248186,0.0792145747451588,0.170287825357492,2.02754452731851,0.351970146466681
144,4.02766627177038e-06,0.32277979252404,0.580001559102779,10.7024233547883,44463.4754526609,5.15430176573958,173.174847923134,-2.01594617374685,0.117538816206421,0.28460400246712,0.940453582635445,0.189867650851285
145,7.57447038589443e-06,0.322954958438364,0.580044228877747,10.823084412305,50165.5799581723,5.12385803379913,167.982202081328,-1.8972211236573,0.130423311721228,0.261024479934993,0.917302013775911,0.168757364507937
146,0.000753237584755028,-0.209077937972981,0.447920094043189,9.45989018023872,12834.4748915332,5.97172286819453,392.180764800045,-3.0450357923196,0.0454322770013879,0.0371230118176743,0.107459677509556,0.172748909306335
147,0.0023957983794003,-0.148057448752261,0.463053105930084,10.1746712368788,26230.3190641298,6.55084668543878,699.836464382521,-1.47469056427389,0.186230717973131,0.263325341673023,1.72621966155991,0.312703071636617
148,0.000692371201372516,-0.484155931785744,0.381271243866465,9.87568131224982,19451.5358949416,4.669636423084,106.658956647548,-3.39287164971647,0.0325189875051382,0.075612130042129,0.319870193387236,0.016767897141297
149,6.41453250660675e-06,0.346903625351426,0.585866515295487,10.8744887663283,52811.7385669465,5.26337889915056,193.13296685998,-1.80259769618567,0.141535143156817,0.329517678189663,0.899576569737484,0.236548231755668
150,0.000148284111113411,-0.229707487085742,0.442824316180543,9.27488623338026,10666.7449631301,5.56373042930581,260.793897156669,-3.16568612152428,0.0404776312445419,0.0399244374451264,0.316285011714661,0.260041048037099
151,0.000172736611225336,0.354825700983691,0.587787307629508,10.5594628134301,38540.4189884146,6.03165384741124,416.403127454909,-2.83461946080823,0.0554818239147973,0.15003299297835,1.17712201981648,0.493207818273768
152,0.000324817597365328,-0.176881078995546,0.455894663662456,10.2688204016374,28819.8712349443,6.69032489591247,804.583615611671,-1.81065499309416,0.140558982526912,0.234916589761534,1.46542054526079,0.27171973790371
153,0.000142134719466455,-0.294992886053711,0.426781967668817,9.53740471748398,13868.9071449655,5.59608122238436,269.368740208895,-3.5211218669028,0.0287171876919124,0.0931131869471893,0.635549690589259,0.192535291335598
154,0.00128964469700265,1.00883525308914,0.732792144536238,9.91719601443421,20276.0570738161,6.00980870870791,407.405379717974,-2.30628596697813,0.0906036962692261,0.163476427442622,2.12602040590511,0.349743680438124
155,6.16610358424235e-05,1.02327155112203,0.735609367898035,10.5092141438083,36651.6652853188,6.33606822531493,564.572171267036,-1.90063778399991,0.130036306832088,0.127185747463481,1.96544167301789,0.509550593396636
156,0.00369032520377816,-0.179436628491803,0.455260819337179,9.52189786268329,13655.50290619,5.4124423845654,224.178449570306,-3.59817461917067,0.0266442928045949,0.0578169725230424,0.760112359218767,0.117226286428904
157,0.000145236029819907,0.466834412866289,0.614634231227427,10.5271419949524,37314.6763082161,5.12266581391847,167.782049696944,-2.93398841055822,0.0504987429360118,0.0613901375846748,1.33762210942054,0.266936960618265
158,0.000111179521307055,1.01691896277002,0.734372016441411,10.3289837611888,30606.992080121,6.53622195133096,689.676020164277,-2.27732813538709,0.0930181219990348,0.137873408983749,2.07408071477786,0.537292567642355
159,0.000357897389782478,0.829103563069227,0.696165349591524,9.60043499315052,14771.2055415187,6.20262337813532,494.0434052148,-3.82075832632566,0.021441373011763,0.186322226001946,1.44318222143962,0.102201909549809
160,0.000873039588721175,-0.172374533349831,0.457012753920028,9.39321001872005,12006.5788821439,5.30075279287033,200.487678876397,-3.20296394656997,0.0390543364670639,0.210079852271589,0.698271378969968,0.168124785373972
161,8.34752602199918e-06,0.298558818924202,0.574090170378476,10.8944062878687,53874.1628139313,5.24597067683416,189.799960266955,-1.98466802289522,0.120822102932076,0.23920190573375,0.948336085086416,0.239273464565416
162,5.35694309120176e-05,-0.191310002059109,0.452317839521944,9.84115859375479,18791.4750982132,5.66153769517438,287.590529294524,-2.14407655690835,0.10488604520557,0.573462566989988,1.47403231773554,0.791312171873316
163,0.00331000570823788,0.299823476173775,0.574399363528167,10.5232425271813,37169.4522628263,5.30250303712255,200.838888545687,-1.66456451979815,0.159150215645413,0.278964816621758,1.03055490636269,0.277439064858234
164,0.00507035200381899,1.23654205265672,0.774961534989867,10.1801837620851,26375.3136350805,6.15886513822591,472.891104161302,-2.0975929548045,0.109330993467521,0.139419911872241,1.76128420366705,0.363017013675548
165,1.34054374495738e-05,0.373713474086533,0.592355979012004,10.9827528278035,58850.3363354833,4.81926096064322,123.873509544107,-2.02931789318622,0.11615893293817,0.287690653011662,0.840822696478682,0.240877829186765
166,0.000784708639362612,0.693743514702164,0.666799172191416,10.5281951753731,37353.9960964898,5.83606854830694,342.430442096268,-2.42526516420657,0.0812662797062947,0.0807542765383869,1.80266440847863,0.756968231077211
167,0.000376570747537653,-0.25350314298763,0.436961444876606,9.42463814320122,12389.9153589709,5.59299818522383,268.539545249182,-3.54688895219131,0.0280071407865985,0.155393578678666,0.824746640856465,0.14198279275837
168,7.94391155679993e-06,0.461711456509701,0.61342010258216,10.9515769162753,57043.9279773567,5.18751284535928,179.022741518322,-2.05455062773714,0.113593372619269,0.265993795457119,0.843973977844476,0.197001941951767
169,3.42277414507399e-05,-0.170919896863161,0.457373747523665,9.45642041662135,12790.0194670147,5.47254114019286,238.06437973798,-3.44805429405345,0.0308269374719413,0.0993432486293017,0.603490781470659,0.120894099535113
170,0.000147105208277952,0.536792550663833,0.631065968328579,10.9843853500421,58946.4892828547,5.35102808059764,210.824931510755,-1.93320398394939,0.126396371469302,0.352026435751838,1.01992975751413,0.235788280035514
171,0.000294437240133403,-0.158548369773698,0.460445731097965,9.29884535994298,10925.3970214865,5.94701687447574,382.610260501446,-3.12374856429314,0.0421382101590725,0.0826652616929664,0.385130105183869,0.250065123597195
172,0.00808624178699208,0.00289153928542518,0.500722884317687,9.70916653499643,16467.8707613993,6.63853415547924,763.974304295044,-1.60909046834901,0.166714928378525,0.292526406671088,1.64374866672852,0.356308511207973
173,0.00243046398153,0.375519097916153,0.592791910857393,10.8412805847249,51086.7570323494,6.04922008984485,423.782388937638,-3.08188745137937,0.0438605934643429,0.107423098727392,1.28196469906644,0.31560290850431
174,0.00276865140866557,-0.177891706168518,0.455643984017885,9.2263091571821,10160.9696765345,5.44601319967178,231.832052915897,-3.40858476654261,0.0320282441273275,0.0763353859615063,0.636539527520295,0.273285943986606
175,2.93516942120176e-06,0.437506597906621,0.607664742829731,10.8181070434381,49916.5077386661,5.21574741038274,184.149404734552,-1.85676655602757,0.135080381527,0.30398364910134,0.974954229760028,0.219548865667864
176,0.00027071918221518,0.909674787056734,0.712933609515452,10.870625699089,52608.1168253011,5.32548612880117,205.508239659915,-2.71163094757771,0.0622905190280124,0.0898667712540783,1.34939883785652,0.431142610894785
177,2.90135222631574e-05,0.276246756871133,0.568625827217647,10.8888660555473,53576.5127224928,5.1575844600421,173.744262104759,-2.10327529426303,0.10877888727889,0.282880649773316,1.10713017220401,0.25033559825195
178,8.2800471470577e-05,0.397442698314343,0.598073086134736,10.9088042736326,54655.4532505829,5.41745793082167,225.305651357174,-2.11432438828965,0.107712342495242,0.277381693277498,0.878229140127464,0.32253642117735
179,6.88046396425586e-05,0.393974949387378,0.597239220101064,10.7665245885311,47406.9721449142,4.94788903047493,140.877262205113,-2.0888656420876,0.110183741369054,0.221372065241829,0.81475517968509,0.303368027383498
