"particle","weight","phi_logit","phi","log_K","K","log_psi","psi","mu_rho","rho","r","kappa","gamma","mu_s","log_sigma_s","sigma_s"
361,1.95542369803711e-07,0.465704925952214,0.61436666747918,10.5985009496719,40074.7183616717,4.63458960177721,102.985644195925,-2.25284688729229,0.0951041809845932,0.0548234082504955,0.32070712859953,0.26375546957427,5.2006110166065,2.38007793438981,10.805744970257
362,0.000150382856884073,0.368242005983026,0.591034116898077,11.4640161610847,95226.7492743609,6.20462018480824,495.030899972988,-2.36834555823985,0.0856185736610198,0.108412854372526,0.416911562287115,0.382900541519799,4.818086410542,1.16611881557819,3.20951172691979
363,5.68563161509578e-07,0.120782056831557,0.530158859232148,7.67863329861027,2161.66340369346,5.60608370373805,272.076616172723,-1.80489341159315,0.141256436450128,0.105212677147375,1.95138732688764,0.126621254401451,4.15302125825281,1.61297892678399,5.01773645573878
364,2.98386289022293e-06,0.603754936167592,0.646514905842038,11.097512051639,66006.7343651599,4.66678454125769,106.35521123635,-2.10737776657834,0.108381806690617,0.0548230703870693,0.170634176490785,0.198813675869113,5.30764991507515,2.35517934679655,10.5400190108395
365,7.8034511462963e-07,-0.504915655177015,0.376386168880217,9.32119954617423,11172.3755990012,6.78485253349412,884.349665373802,-4.06298201469788,0.0169068998073341,0.0398433549018159,0.159797989895752,0.58486312604208,7.66835635121539,1.92072880850771,6.82593145381048
366,2.00463386538511e-06,0.465644714077311,0.614352401967568,10.4692065580082,35214.2658040867,4.77034290403216,117.95968387766,-2.17107675341599,0.10237804090167,0.063538880490739,0.111368381913801,0.233461664725004,5.25453727679967,2.48025786325864,11.9443440282463
367,8.58166171741577e-05,0.16069551943038,0.540087651509741,7.4318400667732,1688.9124275619,6.0612607618804,428.915856879476,-1.86821063308543,0.133748902991036,0.09627604582518,2.09035663739258,0.144920744179314,4.07013110178105,1.65546873726951,5.23553343675386
368,6.04532134568925e-06,0.206416424791054,0.551421655675329,7.57551581937132,1949.8657818557,5.77963282189149,323.64033495199,-1.79781354260029,0.142117429395218,0.0937746793172374,2.14859362780257,0.100181298773581,3.95202029779951,1.60901571372412,4.99788945201675
369,1.80947759364575e-06,0.107145255310524,0.526760717402612,7.29480818109092,1472.63439467743,5.80973652675495,333.531237539509,-1.75643901195405,0.14723688958656,0.116764833858144,1.91205736417487,0.137019586422507,3.92522024232688,1.54773354399593,4.70080393456424
370,1.31497618894017e-05,0.547774585721301,0.633619123932779,10.4169154012982,33420.1871240764,4.67837705443291,107.595309463721,-2.32830407030476,0.0888058010838991,0.0518558030892989,0.273412548613175,0.21609446044787,4.89274475087827,2.3028887714669,10.0030372458783
371,8.77457484420066e-07,0.15042315866252,0.537535040499188,7.17382449287215,1304.82536760106,5.78434270727299,325.168239136777,-1.70673204959208,0.153588064537041,0.121007330979724,1.9705164894971,0.12449900517509,4.01172742253918,1.65533557714007,5.2348363188589
